Vehicle No,Vehicle Type,Pool / Engineering,Jan-25,,Feb-25,,Mar-25,,Apr-25,,May-25,,Jun-25,,Jul-25,,Aug-25,,Sep-25,,Oct-25,,Nov-25,,Dec-25,
,,,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR,SERVICE,REPAIR
BFD-2274,Motorbike,Pool,"60,781.88"," 26,400.00 "," 37,089.24 ","91,278.00"," 27,930.00 "," 38,650.00 ",,,"19,016.25"," 180,850.00 ","26,859.07"," 128,709.07 ",,"144,694.50","27,580.80",,"29,581.96","9,718.65",,"37,440.00",,"13,250.00",,
BFD-2258,Motorbike,Pool,"31,311.34","55,206.69",,,," 100,923.79 ","28,220.95",,," 28,000.00 ",,,"29,315.97",,,"15,391.53",,,"11,746.92","336,062.72","30,110.02","146,600.00",,
BFD-2194,Motorbike,Pool,"31,451.72",,"30,154.96"," 4,030.00 "," 78,472.14 "," 49,523.50 ",,,31182.97," 91,250.00 ",69458.37," 16,016.00 ","36,404.38","12,745.00","35,024.62","31,018.65","34,589.99","72,050.00","93,755.76","328,845.99",,"137,350.00",,
BFD-2190,Motorbike,Pool,," 608,497.57 ",," 212,521.52 "," 23,858.18 ",,,,,,"29,390.33",,,,,,"30,713.48",,"70,595.59","71,432.97",,,,
BFD-2177,Motorbike,Pool,"51,645.38",,,,," 390,376.16 ","30,529.04",,," 178,550.00 ","30,626.60","39,425.00",,,," 472,130.28 ","30,691.46",8437.5,,"3,340.00","29,502.70","8,126.20",,
BFD-2166,Motorbike,Pool,,"1,542.37",,,,,"23,010.21",,,,,,,"5,000.00","47,425.09",,,,,,,,,
BFD-2154,Motorbike,Pool,,,," 59,654.47 "," 24,299.23 "," 159,301.08 ",, 800.00 ,,"10,721.00",,,,,"49,293.04",400,,2644,"2,428.53",,,,,
,,," 715,325.46 "," 2,405,636.05 "," 749,862.17 "," 2,240,624.95 "," 844,757.71 "," 3,787,360.54 "," 965,195.96 "," 1,064,433.14 "," 848,646.49 "," 1,941,409.08 "," 1,028,659.32 "," 1,747,958.20 "," 888,833.31 ",2104510.37," 825,818.91 ",3500645.14," 862,201.62 ",1907652.95," 868,222.87 ","4,189,271.34"," 524,184.88 ",1197631.69, -   ,0
,,,," 3,120,961.51 ",," 2,990,487.12 ",," 4,632,118.25 ",," 2,029,629.10 ",," 2,790,055.57 ",," 2,776,617.52 ",," 2,993,343.68 ",," 4,326,464.05 ",," 2,769,854.57 ",," 5,057,494.21 ",," 1,721,816.57 ",, -   
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Service," 9,121,708.70 ",,,,,,,,,,,,,,,,,,,,,,
,,,Repair," 26,087,133.45 ",,,,,,,,,,,,,,,,,,,,,,
,,,Service & Repair," 35,208,842.15 ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
