Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Matara,30.00,Civil,CAO-2620,Passenger Car," 139,500.00 "," 139,500.00 "," 2,775.00 ", 52.00 , -   , 275.00 , 53.40 ," 14,685.00 "," 4,914.00 ", -   ," 159,099.00 "," 28,637.82 "," 187,736.82 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 159,099.00 "," 28,637.82 "," 187,736.82 "
Prime,Matara,30.00,Sites Acquisition,CAW-8684,Passenger Car," 139,500.00 "," 139,500.00 "," 2,899.00 ", 32.50 , -   , 399.00 , 53.40 ," 21,306.60 "," 3,071.25 ", -   ," 163,877.85 "," 29,498.01 "," 193,375.86 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 163,877.85 "," 29,498.01 "," 193,375.86 "
Prime,Matara,16.00,BTS Operation,PF-2260,4 X 4 Double cab," 198,900.00 "," 106,080.00 "," 1,334.69 ", 70.50 , -   ,, 81.17 , -   ," 6,662.25 ", -   ," 112,742.25 "," 20,293.61 "," 133,035.86 ", -   , -   , -   ," 6,630.00 ",, -   , -   , -   ," 112,742.25 "," 20,293.61 "," 133,035.86 "
Prime,Matara,28.00,BTS Operation,JH-4926,Passenger Van," 158,622.60 "," 148,047.76 "," 3,762.00 ", 48.50 , -   ," 1,262.00 ", 58.22 ," 73,473.64 "," 3,819.38 ", -   ," 225,340.78 "," 40,561.34 "," 265,902.11 ", 2.00 , -   ," 4,000.00 "," 5,287.42 ",," (4,000.00)", (720.00)," (4,720.00)"," 221,340.78 "," 39,841.34 "," 261,182.11 "
Prime,Nittambuwa,10.00,Projects,KQ-0249,Van Field Use," 100,842.57 "," 33,614.19 ", 543.00 , 2.50 , -   ,, 55.68 , -   , 236.25 , -   ," 33,850.44 "," 6,093.08 "," 39,943.52 ", -   , -   , -   ," 3,361.42 ",, -   , -   , -   ," 33,850.44 "," 6,093.08 "," 39,943.52 "
Prime,Nittambuwa,20.00,BTS Operation,PE-2282,4 X 4 Double cab," 198,900.00 "," 132,600.00 "," 1,561.70 ", 48.00 , 2.00 , 61.70 , 81.17 ," 5,008.19 "," 4,536.00 "," 1,050.00 "," 143,194.19 "," 25,774.95 "," 168,969.14 ", -   , -   , -   ," 6,630.00 ",, -   , -   , -   ," 143,194.19 "," 25,774.95 "," 168,969.14 "
Prime,Panadura,30.00,Sites Acquisition,CAX-3097,Passenger Car," 139,500.00 "," 139,500.00 "," 2,631.00 ", 64.50 , -   , 131.00 , 53.40 ," 6,995.40 "," 6,095.25 ", -   ," 152,590.65 "," 27,466.32 "," 180,056.97 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 152,590.65 "," 27,466.32 "," 180,056.97 "
Prime,Panadura,30.00,Power,CAV-1171,Passenger Car," 139,500.00 "," 139,500.00 "," 1,910.00 ", 27.50 , -   ,, 53.40 , -   ," 2,598.75 ", -   ," 142,098.75 "," 25,577.78 "," 167,676.53 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 142,098.75 "," 25,577.78 "," 167,676.53 "
Prime,Panadura,30.00,BTS Operation,CBG-3756,Passenger Car," 139,500.00 "," 139,500.00 "," 1,827.00 ", 18.50 , -   ,, 53.40 , -   ," 1,748.25 ", -   ," 141,248.25 "," 25,424.69 "," 166,672.94 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 141,248.25 "," 25,424.69 "," 166,672.94 "
Prime,Panadura,30.00,BTS Operation,JW-4703,Passenger Van," 209,080.42 "," 209,080.42 "," 1,890.00 ", 38.00 , -   ,, 76.67 , -   ," 3,591.00 ", -   ," 212,671.42 "," 38,280.86 "," 250,952.28 ", -   , -   , -   ," 6,969.35 ",, -   , -   , -   ," 212,671.42 "," 38,280.86 "," 250,952.28 "
