Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Pumped Fuel , Total KM , OT , Night Out , Excess milage ,,, Excess milage Rate , Excess Amount - 01 , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT ,Days (1), Temper hired vehicle charges , Absent Penalty amount , Fuel Pumped Amount , No pay rate=1 , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Katunayaka,31.00,BTS Operation,PC-8556,Self-Driven 4 X 4 Double cab," 142,000.00 "," 142,000.00 ", -   ," 1,058.01 ", -   , -   , -   ," 1,058.01 ", 134.21 , 57.75 , -   , -   , -   ," 142,000.00 "," 25,560.00 "," 167,560.00 ", -   , -   , -   , -   ," 4,580.65 ",, -   , -   , -   ," 142,000.00 "," 25,560.00 "," 167,560.00 "
Prime,Kurunegala,27.00,Projects,PC-0040,Passenger Car," 143,500.00 "," 124,983.87 "," 64,887.84 "," 2,554.00 ", 88.00 , -   , 54.00 ," 2,500.00 ", 57.40 , 55.00 ," 2,970.000 "," 8,316.00 ", -   ," 136,269.87 "," 24,528.58 "," 160,798.45 ", -   , -   , -   ," 64,887.84 "," 4,629.03 ",," (64,887.84)"," (11,679.81)"," (76,567.65)"," 71,382.03 "," 12,848.77 "," 84,230.80 "
Prime,Kurunegala,31.00,Civil,PE-0852,Van Field Use," 129,745.00 "," 129,745.00 "," 85,805.12 "," 2,717.00 ", 10.50 , -   , 217.00 ," 2,500.00 ", 51.90 , 57.46 ," 12,468.820 ", 992.25 , -   ," 143,206.07 "," 25,777.09 "," 168,983.16 ", -   , -   , -   ," 85,805.12 "," 4,185.32 ",," (85,805.12)"," (15,444.92)"," (101,250.04)"," 57,400.95 "," 10,332.17 "," 67,733.12 "
Prime,Kurunegala,31.00,Sites Acquisition,CAD-7553,Passenger Car," 143,500.00 "," 143,500.00 "," 75,170.43 "," 2,964.00 ", 31.00 , -   , 464.00 ," 2,500.00 ", 57.40 , 55.00 ," 25,520.000 "," 2,929.50 ", -   ," 171,949.50 "," 30,950.91 "," 202,900.41 ", -   , -   , -   ," 75,170.43 "," 4,629.03 ",," (75,170.43)"," (13,530.68)"," (88,701.11)"," 96,779.07 "," 17,420.23 "," 114,199.30 "
Prime,Kurunegala,31.00,Sites Acquisition,CBB-8946,Passenger Car," 143,500.00 "," 143,500.00 "," 84,999.72 "," 2,978.00 ", 64.50 , 5.00 , 478.00 ," 2,500.00 ", 57.40 , 55.00 ," 26,290.000 "," 6,095.25 "," 2,625.00 "," 178,510.25 "," 32,131.85 "," 210,642.10 ", -   , -   , -   ," 84,999.72 "," 4,629.03 ",," (84,999.72)"," (15,299.95)"," (100,299.67)"," 93,510.53 "," 16,831.90 "," 110,342.42 "
Prime,Kurunegala,31.00,BTS Operation,PC-4962,4 X 4 Double cab," 233,000.00 "," 233,000.00 "," 65,139.36 "," 2,410.00 ", 22.00 , -   ,," 2,410.00 ", 96.68 , 82.50 , -   ," 2,079.00 ", -   ," 235,079.00 "," 42,314.22 "," 277,393.22 ", -   , -   , -   ," 65,139.36 "," 7,516.13 ",," (65,139.36)"," (11,725.08)"," (76,864.44)"," 169,939.64 "," 30,589.14 "," 200,528.78 "
Prime,Kurunegala,31.00,RND,PC-3390,Passenger Van," 212,413.75 "," 212,413.75 "," 79,442.22 "," 3,488.00 ", 69.50 , -   , 988.00 ," 2,500.00 ", 84.97 , 78.00 ," 77,064.000 "," 6,567.75 ", -   ," 296,045.50 "," 53,288.19 "," 349,333.69 ", -   , -   , -   ," 79,442.22 "," 6,852.06 ",," (79,442.22)"," (14,299.60)"," (93,741.82)"," 216,603.28 "," 38,988.59 "," 255,591.87 "
Prime,Matara,31.00,Civil,CAO-2620,Passenger Car," 143,500.00 "," 143,500.00 "," 51,810.03 "," 2,386.00 ", 44.50 , -   ,," 2,386.00 ", 60.14 , 55.00 , -   ," 4,205.25 ", -   ," 147,705.25 "," 26,586.95 "," 174,292.20 ", -   , -   , -   ," 51,810.03 "," 4,629.03 ",," (51,810.03)"," (9,325.81)"," (61,135.84)"," 95,895.22 "," 17,261.14 "," 113,156.36 "
Prime,Matara,31.00,Sites Acquisition,CAW-8684,Passenger Car," 143,500.00 "," 143,500.00 "," 44,805.00 "," 2,634.00 ", 30.50 , -   , 134.00 ," 2,500.00 ", 57.40 , 55.00 ," 7,370.000 "," 2,882.25 ", -   ," 153,752.25 "," 27,675.41 "," 181,427.66 ", -   , -   , -   ," 44,805.00 "," 4,629.03 ",," (44,805.00)"," (8,064.90)"," (52,869.90)"," 108,947.25 "," 19,610.51 "," 128,557.76 "
Prime,Matara,31.00,RND,PE-9429,Passenger Van," 212,413.75 "," 212,413.75 "," 129,417.86 "," 3,496.00 ", 90.00 , -   , 996.00 ," 2,500.00 ", 84.97 , 78.00 ," 77,688.000 "," 8,505.00 ", -   ," 298,606.75 "," 53,749.22 "," 352,355.97 ", -   , -   , -   ," 129,417.86 "," 6,852.06 ",," (129,417.86)"," (23,295.21)"," (152,713.07)"," 169,188.89 "," 30,454.00 "," 199,642.89 "
Prime,Nittambuwa,31.00,BTS Operation,PE-2282,4 X 4 Double cab," 233,000.00 "," 233,000.00 "," 40,188.95 "," 2,416.61 ", 23.50 , -   ,," 2,416.61 ", 96.42 , 82.50 , -   ," 2,220.75 ", -   ," 235,220.75 "," 42,339.74 "," 277,560.49 ", -   , -   , -   ," 40,188.95 "," 7,516.13 ",," (40,188.95)"," (7,234.01)"," (47,422.96)"," 195,031.80 "," 35,105.72 "," 230,137.53 "
Prime,Panadura,31.00,Sites Acquisition,CAX-3097,Passenger Car," 143,500.00 "," 143,500.00 "," 44,648.65 "," 1,955.00 ", 58.00 , -   ,," 1,955.00 ", 73.40 , 55.00 , -   ," 5,481.00 ", -   ," 148,981.00 "," 26,816.58 "," 175,797.58 ", 5.00 , -   ," 10,000.00 "," 44,648.65 "," 4,629.03 ",," (54,648.65)"," (9,836.76)"," (64,485.40)"," 94,332.35 "," 16,979.82 "," 111,312.18 "
Prime,Panadura,31.00,Power,CAV-1171,Passenger Car," 143,500.00 "," 143,500.00 "," 85,599.00 "," 2,335.00 ", 46.00 , -   ,," 2,335.00 ", 61.46 , 55.00 , -   ," 4,347.00 ", -   ," 147,847.00 "," 26,612.46 "," 174,459.46 ", -   , -   , -   ," 85,599.00 "," 4,629.03 ",," (85,599.00)"," (15,407.82)"," (101,006.82)"," 62,248.00 "," 11,204.64 "," 73,452.64 "
Prime,Panadura,31.00,BTS Operation,59-8951,Passenger Van," 161,955.94 "," 161,955.94 "," 79,444.51 "," 2,137.00 ", 44.50 , -   ,," 2,137.00 ", 75.79 , 59.55 , -   ," 3,504.38 ", -   ," 165,460.32 "," 29,782.86 "," 195,243.17 ", 1.00 , -   ," 2,000.00 "," 79,444.51 "," 5,224.39 ",," (81,444.51)"," (14,660.01)"," (96,104.52)"," 84,015.81 "," 15,122.85 "," 99,138.65 "
Prime,Panadura,31.00,Pool,CAM-7753,Passenger Car," 143,500.00 "," 143,500.00 "," 85,833.43 "," 2,409.00 ", 70.50 , -   ,," 2,409.00 ", 59.57 , 55.00 , -   ," 6,662.25 ", -   ," 150,162.25 "," 27,029.21 "," 177,191.46 ", -   , -   , -   ," 85,833.43 "," 4,629.03 ",," (85,833.43)"," (15,450.02)"," (101,283.45)"," 64,328.82 "," 11,579.19 "," 75,908.00 "
