Supplier,Location,Working days,Division,YOM,Applied rate Card,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Welikada,30.00,Pool,2015,Rate Card 02,KN-5597,Passenger Car," 138,250.00 "," 133,790.32 "," 3,673.00 ", 112.50 , 3.00 ," 1,173.00 ", 52.90 ," 62,051.70 "," 10,462.50 "," 1,575.00 "," 207,879.52 "," 37,418.31 "," 245,297.84 ", 1.00 , -   ," 2,000.00 "," 4,459.68 ",," (2,000.00)", (360.00)," (2,360.00)"," 205,879.52 "," 37,058.31 "," 242,937.84 "
Prime,Welikada,29.00,Pool,2016,Rate Card 02,CAQ-5544,Passenger Car," 138,250.00 "," 129,330.65 "," 2,921.00 ", 62.00 , -   , 421.00 , 52.90 ," 22,270.90 "," 5,766.00 ", -   ," 157,367.55 "," 28,326.16 "," 185,693.70 ", 2.00 ," 6,783.00 "," 4,000.00 "," 4,459.68 ",," (10,783.00)"," (1,940.94)"," (12,723.94)"," 146,584.55 "," 26,385.22 "," 172,969.76 "
Prime,Welikada,31.00,Pool,2017,Rate Card 02,CAO-1292,Passenger Car," 138,250.00 "," 138,250.00 "," 3,213.00 ", 66.00 , 2.00 , 713.00 , 52.90 ," 37,717.70 "," 6,138.00 "," 1,050.00 "," 183,155.70 "," 32,968.03 "," 216,123.73 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 183,155.70 "," 32,968.03 "," 216,123.73 "
Prime,Welikada,31.00,Pool,2017,Rate Card 02,CAK-9887,Passenger Car," 138,250.00 "," 138,250.00 "," 3,642.00 ", 74.50 , 2.00 ," 1,142.00 ", 52.90 ," 60,411.80 "," 6,928.50 "," 1,050.00 "," 206,640.30 "," 37,195.25 "," 243,835.55 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 206,640.30 "," 37,195.25 "," 243,835.55 "
Prime,Welikada,30.00,Pool,2017,Rate Card 02,CBJ-9817,Passenger Car," 138,250.00 "," 133,790.32 "," 2,920.00 ", 61.00 , -   , 420.00 , 52.90 ," 22,218.00 "," 5,673.00 ", -   ," 161,681.32 "," 29,102.64 "," 190,783.96 ", 1.00 , -   ," 2,000.00 "," 4,459.68 ",," (2,000.00)", (360.00)," (2,360.00)"," 159,681.32 "," 28,742.64 "," 188,423.96 "
Prime,Welikada,30.00,Pool,2017,Rate Card 02,CAW-7120,Passenger Car," 138,250.00 "," 133,790.32 "," 3,418.00 ", 80.00 , 2.00 , 918.00 , 52.90 ," 48,562.20 "," 7,440.00 "," 1,050.00 "," 190,842.52 "," 34,351.65 "," 225,194.18 ", 1.00 , -   ," 2,000.00 "," 4,459.68 ",," (2,000.00)", (360.00)," (2,360.00)"," 188,842.52 "," 33,991.65 "," 222,834.18 "
Prime,Welikada,31.00,Pool,2014,Rate Card 02,CBC-0290,Passenger Car," 138,250.00 "," 138,250.00 "," 3,453.00 ", 90.00 , 1.00 , 953.00 , 52.90 ," 50,413.70 "," 8,370.00 ", 525.00 ," 197,558.70 "," 35,560.57 "," 233,119.27 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 197,558.70 "," 35,560.57 "," 233,119.27 "
Prime,Welikada,31.00,Pool,2016,Rate Card 02,CAU-7591,Passenger Car," 138,250.00 "," 138,250.00 "," 3,169.00 ", 84.50 , 1.00 , 669.00 , 52.90 ," 35,390.10 "," 7,858.50 ", 525.00 ," 182,023.60 "," 32,764.25 "," 214,787.85 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 182,023.60 "," 32,764.25 "," 214,787.85 "
Prime,Welikada,31.00,Pool,2017,Rate Card 02,CAZ-3165,Passenger Car," 138,250.00 "," 138,250.00 "," 3,134.00 ", 111.00 , 3.00 , 634.00 , 52.90 ," 33,538.60 "," 10,323.00 "," 1,575.00 "," 183,686.60 "," 33,063.59 "," 216,750.19 ", -   , -   , -   ," 4,459.68 ",, -   , -   , -   ," 183,686.60 "," 33,063.59 "," 216,750.19 "
Prime,Welikada,30.00,Pool,2015,Rate Card 02,KX-8277,Passenger Car," 138,250.00 "," 133,790.32 "," 2,643.00 ", 78.50 , -   , 143.00 , 52.90 ," 7,564.70 "," 7,300.50 ", -   ," 148,655.52 "," 26,757.99 "," 175,413.52 ", 1.00 , -   ," 2,000.00 "," 4,459.68 ",," (2,000.00)", (360.00)," (2,360.00)"," 146,655.52 "," 26,397.99 "," 173,053.52 "
Shakya,Welikada,29.00,Pool,2006,Rate Card 01,PA-1625,Van Field Use," 123,911.11 "," 115,916.84 "," 3,585.00 ", 131.50 , 2.00 ," 1,085.00 ", 54.44 ," 59,067.40 "," 12,178.22 ", 800.00 ," 187,962.46 "," 33,833.24 "," 221,795.70 ", 2.00 , -   ," 4,000.00 "," 3,997.13 ",," (4,000.00)", (720.00)," (4,720.00)"," 183,962.46 "," 33,113.24 "," 217,075.70 "
Shakya,Welikada,29.00,Pool,2014,Rate Card 01,CAO-0269,Van Field Use," 123,911.11 "," 115,916.84 "," 2,706.00 ", 50.00 , -   , 206.00 , 54.44 ," 11,214.64 "," 4,630.50 ", -   ," 131,761.98 "," 23,717.16 "," 155,479.14 ", 2.00 ," 7,912.00 "," 4,000.00 "," 3,997.13 ",," (11,912.00)"," (2,144.16)"," (14,056.16)"," 119,849.98 "," 21,573.00 "," 141,422.98 "
Shakya,Welikada,31.00,Pool,2014,Rate Card 01,CAB-0480,Passenger Car," 122,250.00 "," 122,250.00 "," 2,991.00 ", 79.50 , 1.00 , 491.00 , 49.00 ," 24,059.00 "," 7,393.50 ", 400.00 ," 154,102.50 "," 27,738.45 "," 181,840.95 ", -   , -   , -   ," 3,943.55 ",, -   , -   , -   ," 154,102.50 "," 27,738.45 "," 181,840.95 "
Prime,Welikada,31.00,BTS Operation,2007,Rate Card 02,PC-4084,Self-Driven 4 X 4 Double cab," 146,475.00 "," 146,475.00 "," 1,896.00 ", -   , -   ,, 51.45 , -   , -   , -   ," 146,475.00 "," 26,365.50 "," 172,840.50 ", -   , -   , -   ," 4,725.00 ",, -   , -   , -   ," 146,475.00 "," 26,365.50 "," 172,840.50 "
Prime,Welikada,29.00,BTS Operation,2007,Rate Card 02,PB-5250,4 X 4 Double cab," 227,166.67 "," 212,510.76 "," 3,199.00 ", 114.50 , 4.00 , 699.00 , 80.17 ," 56,038.83 "," 10,603.85 "," 2,100.00 "," 281,253.43 "," 50,625.62 "," 331,879.05 ", 2.00 , -   ," 4,000.00 "," 7,327.96 ",," (4,000.00)", (720.00)," (4,720.00)"," 277,253.43 "," 49,905.62 "," 327,159.05 "
Shakya,Welikada,31.00,Transmission Operations,2010,Rate Card 01,CAT-1657,Self-Driven Passenger Car," 81,500.00 "," 81,500.00 "," 1,224.00 ", -   , -   , -   , 30.50 , -   , -   , -   ," 81,500.00 "," 14,670.00 "," 96,170.00 ", -   , -   , -   ," 2,629.03 ",, -   , -   , -   ," 81,500.00 "," 14,670.00 "," 96,170.00 "
Shakya,Welikada,31.00,Transmission Operations,2014,Rate Card 01,CAD-4201,Self-Driven Passenger Car," 84,000.00 "," 84,000.00 "," 2,080.00 ", -   , -   , -   , 30.50 , -   , -   , -   ," 84,000.00 "," 15,120.00 "," 99,120.00 ", -   , -   , -   ," 2,709.68 ",, -   , -   , -   ," 84,000.00 "," 15,120.00 "," 99,120.00 "
Shakya,Yatiyanthota,30.00,BTS Operation,1997,Rate Card 01,PA-4740,Passenger Van," 125,810.00 "," 121,751.61 "," 2,951.00 ", 41.00 , -   , 451.00 , 64.00 ," 28,864.00 "," 3,680.98 ", -   ," 154,296.59 "," 27,773.39 "," 182,069.98 ", -   , -   , -   ," 4,058.39 ",, -   , -   , -   ," 154,296.59 "," 27,773.39 "," 182,069.98 "
,,,,,,,,,," 200,406.81 "," 4,621.50 ", 25.00 ," 36,767.75 ",,,,," 13,495,439.00 ",,,,,,,," (72,620.00)",,," 13,422,819.00 "," 36,767.75 "," 15,838,926.42 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
